"Step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_event-split-fictions-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_event-split-fictions-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_event-split-fictions-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictions-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictions-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictions-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_event-split-fictions-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_event-split-fictions-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_event-split-fictions-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_event-split-fictions-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_event-split-fictions-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_event-split-fictions-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_event-split-fictions-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_event-split-fictions-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_event-split-fictions-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc__MAX"
"0","0.2318840579710145","0.2318840579710145","0.2318840579710145","0.18610013175230566","0.18610013175230566","0.18610013175230566","0.1478919631093544","0.1478919631093544","0.1478919631093544","0.19005270092226614","0.19005270092226614","0.19005270092226614","0.1478919631093544","0.1478919631093544","0.1478919631093544","0.17094861660079053","0.17094861660079053","0.17094861660079053"
"50","0.20355731225296442","0.20355731225296442","0.20355731225296442","0.18115942028985507","0.18115942028985507","0.18115942028985507","0.14031620553359683","0.14031620553359683","0.14031620553359683","0.17885375494071146","0.17885375494071146","0.17885375494071146","0.14130434782608695","0.14130434782608695","0.14130434782608695","0.1686429512516469","0.1686429512516469","0.1686429512516469"
"100","0.22529644268774704","0.22529644268774704","0.22529644268774704","0.2341897233201581","0.2341897233201581","0.2341897233201581","0.15942028985507245","0.15942028985507245","0.15942028985507245","0.1893939393939394","0.1893939393939394","0.1893939393939394","0.1442687747035573","0.1442687747035573","0.1442687747035573","0.20223978919631094","0.20223978919631094","0.20223978919631094"
"150","0.29051383399209485","0.29051383399209485","0.29051383399209485","0.27898550724637683","0.27898550724637683","0.27898550724637683","0.17391304347826086","0.17391304347826086","0.17391304347826086","0.21640316205533597","0.21640316205533597","0.21640316205533597","0.1324110671936759","0.1324110671936759","0.1324110671936759","0.24242424242424243","0.24242424242424243","0.24242424242424243"
"200","0.2868906455862978","0.2868906455862978","0.2868906455862978","0.25691699604743085","0.25691699604743085","0.25691699604743085","0.1903820816864295","0.1903820816864295","0.1903820816864295","0.22496706192358365","0.22496706192358365","0.22496706192358365","0.13043478260869565","0.13043478260869565","0.13043478260869565","0.25428194993412384","0.25428194993412384","0.25428194993412384"
"250","0.29907773386034253","0.29907773386034253","0.29907773386034253","0.28820816864295123","0.28820816864295123","0.28820816864295123","0.20454545454545456","0.20454545454545456","0.20454545454545456","0.2341897233201581","0.2341897233201581","0.2341897233201581","0.13043478260869565","0.13043478260869565","0.13043478260869565","0.2523056653491436","0.2523056653491436","0.2523056653491436"
"300","0.29183135704874835","0.29183135704874835","0.29183135704874835","0.2957839262187088","0.2957839262187088","0.2957839262187088","0.20685111989459815","0.20685111989459815","0.20685111989459815","0.23748353096179184","0.23748353096179184","0.23748353096179184","0.1347167325428195","0.1347167325428195","0.1347167325428195","0.25922266139657446","0.25922266139657446","0.25922266139657446"
"350","0.30632411067193677","0.30632411067193677","0.30632411067193677","0.2957839262187088","0.2957839262187088","0.2957839262187088","0.21146245059288538","0.21146245059288538","0.21146245059288538","0.24110671936758893","0.24110671936758893","0.24110671936758893","0.13274044795783926","0.13274044795783926","0.13274044795783926","0.26679841897233203","0.26679841897233203","0.26679841897233203"
"400","0.2971014492753623","0.2971014492753623","0.2971014492753623","0.3000658761528327","0.3000658761528327","0.3000658761528327","0.21409749670619235","0.21409749670619235","0.21409749670619235","0.23715415019762845","0.23715415019762845","0.23715415019762845","0.13570487483530963","0.13570487483530963","0.13570487483530963","0.2605401844532279","0.2605401844532279","0.2605401844532279"
"450","0.29677206851119897","0.29677206851119897","0.29677206851119897","0.29183135704874835","0.29183135704874835","0.29183135704874835","0.21014492753623187","0.21014492753623187","0.21014492753623187","0.24077733860342557","0.24077733860342557","0.24077733860342557","0.13405797101449277","0.13405797101449277","0.13405797101449277","0.2621870882740448","0.2621870882740448","0.2621870882740448"
"499","0.3010540184453228","0.3010540184453228","0.3010540184453228","0.2961133069828722","0.2961133069828722","0.2961133069828722","0.21047430830039526","0.21047430830039526","0.21047430830039526","0.2437417654808959","0.2437417654808959","0.2437417654808959","0.13339920948616601","0.13339920948616601","0.13339920948616601","0.2605401844532279","0.2605401844532279","0.2605401844532279"
