"Step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictions-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictions-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictions-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictsheets-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictsheets-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictsheets-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_style-split-loo-blog-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_style-split-loo-blog-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_style-split-loo-blog-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_style-split-loo-news-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_style-split-loo-news-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_style-split-loo-news-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_base-only-all-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_base-only-all-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_base-only-all-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc__MAX"
"0","0.18610013175230566","0.18610013175230566","0.18610013175230566","0.18610013175230566","0.18610013175230566","0.18610013175230566","0.18610013175230566","0.18610013175230566","0.18610013175230566","0.18610013175230566","0.18610013175230566","0.18610013175230566","0.18610013175230566","0.18610013175230566","0.18610013175230566","0.18610013175230566","0.18610013175230566","0.18610013175230566"
"50","0.18115942028985507","0.18115942028985507","0.18115942028985507","0.1831357048748353","0.1831357048748353","0.1831357048748353","0.18214756258234518","0.18214756258234518","0.18214756258234518","0.18511198945981555","0.18511198945981555","0.18511198945981555","0.18214756258234518","0.18214756258234518","0.18214756258234518","0.18115942028985507","0.18115942028985507","0.18115942028985507"
"100","0.2341897233201581","0.2341897233201581","0.2341897233201581","0.2490118577075099","0.2490118577075099","0.2490118577075099","0.24571805006587616","0.24571805006587616","0.24571805006587616","0.23451910408432147","0.23451910408432147","0.23451910408432147","0.2549407114624506","0.2549407114624506","0.2549407114624506","0.1834650856389987","0.1834650856389987","0.1834650856389987"
"150","0.27898550724637683","0.27898550724637683","0.27898550724637683","0.29347826086956524","0.29347826086956524","0.29347826086956524","0.23649538866930173","0.23649538866930173","0.23649538866930173","0.2816205533596838","0.2816205533596838","0.2816205533596838","0.30401844532279315","0.30401844532279315","0.30401844532279315","0.17753623188405798","0.17753623188405798","0.17753623188405798"
"200","0.25691699604743085","0.25691699604743085","0.25691699604743085","0.29281949934123847","0.29281949934123847","0.29281949934123847","0.1956521739130435","0.1956521739130435","0.1956521739130435","0.2868906455862978","0.2868906455862978","0.2868906455862978","0.2865612648221344","0.2865612648221344","0.2865612648221344","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"250","0.28820816864295123","0.28820816864295123","0.28820816864295123","0.3178524374176548","0.3178524374176548","0.3178524374176548","0.21772068511198947","0.21772068511198947","0.21772068511198947","0.32575757575757575","0.32575757575757575","0.32575757575757575","0.325098814229249","0.325098814229249","0.325098814229249","0.16897233201581027","0.16897233201581027","0.16897233201581027"
"300","0.2957839262187088","0.2957839262187088","0.2957839262187088","0.33695652173913043","0.33695652173913043","0.33695652173913043","0.2088274044795784","0.2088274044795784","0.2088274044795784","0.3241106719367589","0.3241106719367589","0.3241106719367589","0.3412384716732543","0.3412384716732543","0.3412384716732543","0.1663372859025033","0.1663372859025033","0.1663372859025033"
"350","0.2957839262187088","0.2957839262187088","0.2957839262187088","0.3349802371541502","0.3349802371541502","0.3349802371541502","0.21574440052700922","0.21574440052700922","0.21574440052700922","0.32839262187088275","0.32839262187088275","0.32839262187088275","0.3534255599472991","0.3534255599472991","0.3534255599472991","0.1673254281949934","0.1673254281949934","0.1673254281949934"
"400","0.3000658761528327","0.3000658761528327","0.3000658761528327","0.3326745718050066","0.3326745718050066","0.3326745718050066","0.21179183135704874","0.21179183135704874","0.21179183135704874","0.33662714097496704","0.33662714097496704","0.33662714097496704","0.34980237154150196","0.34980237154150196","0.34980237154150196","0.16567852437417654","0.16567852437417654","0.16567852437417654"
"450","0.29183135704874835","0.29183135704874835","0.29183135704874835","0.3313570487483531","0.3313570487483531","0.3313570487483531","0.208498023715415","0.208498023715415","0.208498023715415","0.3241106719367589","0.3241106719367589","0.3241106719367589","0.3461791831357049","0.3461791831357049","0.3461791831357049","0.16798418972332016","0.16798418972332016","0.16798418972332016"
"499","0.2961133069828722","0.2961133069828722","0.2961133069828722","0.3336627140974967","0.3336627140974967","0.3336627140974967","0.2088274044795784","0.2088274044795784","0.2088274044795784","0.32740447957839264","0.32740447957839264","0.32740447957839264","0.347167325428195","0.347167325428195","0.347167325428195","0.16798418972332016","0.16798418972332016","0.16798418972332016"
