"Step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_event-split-fictsheets-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_event-split-fictsheets-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_event-split-fictsheets-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_event-split-fictsheets-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_event-split-fictsheets-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_event-split-fictsheets-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_event-split-fictsheets-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_event-split-fictsheets-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_event-split-fictsheets-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictsheets-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictsheets-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictsheets-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_event-split-fictsheets-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_event-split-fictsheets-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_event-split-fictsheets-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk10/acc__MAX"
"0","0.17094861660079053","0.17094861660079053","0.17094861660079053","0.1478919631093544","0.1478919631093544","0.1478919631093544","0.1478919631093544","0.1478919631093544","0.1478919631093544","0.2318840579710145","0.2318840579710145","0.2318840579710145","0.18610013175230566","0.18610013175230566","0.18610013175230566","0.19005270092226614","0.19005270092226614","0.19005270092226614"
"50","0.1686429512516469","0.1686429512516469","0.1686429512516469","0.14130434782608695","0.14130434782608695","0.14130434782608695","0.14130434782608695","0.14130434782608695","0.14130434782608695","0.20355731225296442","0.20355731225296442","0.20355731225296442","0.18214756258234518","0.18214756258234518","0.18214756258234518","0.17984189723320157","0.17984189723320157","0.17984189723320157"
"100","0.20487483530961792","0.20487483530961792","0.20487483530961792","0.1541501976284585","0.1541501976284585","0.1541501976284585","0.1442687747035573","0.1442687747035573","0.1442687747035573","0.2269433465085639","0.2269433465085639","0.2269433465085639","0.24571805006587616","0.24571805006587616","0.24571805006587616","0.20059288537549408","0.20059288537549408","0.20059288537549408"
"150","0.2098155467720685","0.2098155467720685","0.2098155467720685","0.1478919631093544","0.1478919631093544","0.1478919631093544","0.1324110671936759","0.1324110671936759","0.1324110671936759","0.24209486166007904","0.24209486166007904","0.24209486166007904","0.23649538866930173","0.23649538866930173","0.23649538866930173","0.208498023715415","0.208498023715415","0.208498023715415"
"200","0.20355731225296442","0.20355731225296442","0.20355731225296442","0.14525691699604742","0.14525691699604742","0.14525691699604742","0.13043478260869565","0.13043478260869565","0.13043478260869565","0.2124505928853755","0.2124505928853755","0.2124505928853755","0.1956521739130435","0.1956521739130435","0.1956521739130435","0.19301712779973648","0.19301712779973648","0.19301712779973648"
"250","0.2002635046113307","0.2002635046113307","0.2002635046113307","0.14756258234519104","0.14756258234519104","0.14756258234519104","0.13043478260869565","0.13043478260869565","0.13043478260869565","0.2078392621870883","0.2078392621870883","0.2078392621870883","0.21772068511198947","0.21772068511198947","0.21772068511198947","0.19367588932806323","0.19367588932806323","0.19367588932806323"
"300","0.1963109354413702","0.1963109354413702","0.1963109354413702","0.1541501976284585","0.1541501976284585","0.1541501976284585","0.1347167325428195","0.1347167325428195","0.1347167325428195","0.20487483530961792","0.20487483530961792","0.20487483530961792","0.2088274044795784","0.2088274044795784","0.2088274044795784","0.1963109354413702","0.1963109354413702","0.1963109354413702"
"350","0.20092226613965744","0.20092226613965744","0.20092226613965744","0.14953886693017127","0.14953886693017127","0.14953886693017127","0.13274044795783926","0.13274044795783926","0.13274044795783926","0.2134387351778656","0.2134387351778656","0.2134387351778656","0.21574440052700922","0.21574440052700922","0.21574440052700922","0.19433465085638998","0.19433465085638998","0.19433465085638998"
"400","0.20092226613965744","0.20092226613965744","0.20092226613965744","0.15217391304347827","0.15217391304347827","0.15217391304347827","0.13570487483530963","0.13570487483530963","0.13570487483530963","0.19598155467720685","0.19598155467720685","0.19598155467720685","0.21179183135704874","0.21179183135704874","0.21179183135704874","0.1893939393939394","0.1893939393939394","0.1893939393939394"
"450","0.19927536231884058","0.19927536231884058","0.19927536231884058","0.14855072463768115","0.14855072463768115","0.14855072463768115","0.13405797101449277","0.13405797101449277","0.13405797101449277","0.20059288537549408","0.20059288537549408","0.20059288537549408","0.208498023715415","0.208498023715415","0.208498023715415","0.19202898550724637","0.19202898550724637","0.19202898550724637"
