"Step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk4/acc","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk4/acc__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk4/acc__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk4/acc","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk4/acc__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk4/acc__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk4/acc","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk4/acc__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk4/acc__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk4/acc","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk4/acc__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk4/acc__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk4/acc","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk4/acc__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk4/acc__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk4/acc","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk4/acc__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - fict_qa_obqa_blind_inf_ex_dedup_ds_mcq_topk4/acc__MAX"
"0","0.30138339920948615","0.30138339920948615","0.30138339920948615","0.2750329380764163","0.2750329380764163","0.2750329380764163","0.3142292490118577","0.3142292490118577","0.3142292490118577","0.2750329380764163","0.2750329380764163","0.2750329380764163","0.32608695652173914","0.32608695652173914","0.32608695652173914","0.3465085638998682","0.3465085638998682","0.3465085638998682"
"50","0.30533596837944665","0.30533596837944665","0.30533596837944665","0.2631752305665349","0.2631752305665349","0.2631752305665349","0.3290513833992095","0.3290513833992095","0.3290513833992095","0.2621870882740448","0.2621870882740448","0.2621870882740448","0.31389986824769434","0.31389986824769434","0.31389986824769434","0.3362977602108037","0.3362977602108037","0.3362977602108037"
"100","0.35968379446640314","0.35968379446640314","0.35968379446640314","0.30368906455862976","0.30368906455862976","0.30368906455862976","0.3936100131752306","0.3936100131752306","0.3936100131752306","0.2740447957839262","0.2740447957839262","0.2740447957839262","0.3362977602108037","0.3362977602108037","0.3362977602108037","0.3712121212121212","0.3712121212121212","0.3712121212121212"
"150","0.39855072463768115","0.39855072463768115","0.39855072463768115","0.3214756258234519","0.3214756258234519","0.3214756258234519","0.4492753623188406","0.4492753623188406","0.4492753623188406","0.2598814229249012","0.2598814229249012","0.2598814229249012","0.37582345191040845","0.37582345191040845","0.37582345191040845","0.4525691699604743","0.4525691699604743","0.4525691699604743"
"200","0.4183135704874835","0.4183135704874835","0.4183135704874835","0.34288537549407117","0.34288537549407117","0.34288537549407117","0.45816864295125165","0.45816864295125165","0.45816864295125165","0.2602108036890646","0.2602108036890646","0.2602108036890646","0.38438735177865613","0.38438735177865613","0.38438735177865613","0.47035573122529645","0.47035573122529645","0.47035573122529645"
"250","0.4150197628458498","0.4150197628458498","0.4150197628458498","0.3590250329380764","0.3590250329380764","0.3590250329380764","0.47990777338603424","0.47990777338603424","0.47990777338603424","0.2621870882740448","0.2621870882740448","0.2621870882740448","0.39986824769433466","0.39986824769433466","0.39986824769433466","0.480566534914361","0.480566534914361","0.480566534914361"
"300","0.43346508563899866","0.43346508563899866","0.43346508563899866","0.3725296442687747","0.3725296442687747","0.3725296442687747","0.4990118577075099","0.4990118577075099","0.4990118577075099","0.272068511198946","0.272068511198946","0.272068511198946","0.4074440052700922","0.4074440052700922","0.4074440052700922","0.4795783926218709","0.4795783926218709","0.4795783926218709"
"350","0.44861660079051385","0.44861660079051385","0.44861660079051385","0.3847167325428195","0.3847167325428195","0.3847167325428195","0.497364953886693","0.497364953886693","0.497364953886693","0.2648221343873518","0.2648221343873518","0.2648221343873518","0.4140316205533597","0.4140316205533597","0.4140316205533597","0.5006587615283268","0.5006587615283268","0.5006587615283268"
"400","0.441699604743083","0.441699604743083","0.441699604743083","0.391304347826087","0.391304347826087","0.391304347826087","0.4897891963109354","0.4897891963109354","0.4897891963109354","0.2730566534914361","0.2730566534914361","0.2730566534914361","0.4090909090909091","0.4090909090909091","0.4090909090909091","0.47859025032938074","0.47859025032938074","0.47859025032938074"
"450","0.4426877470355731","0.4426877470355731","0.4426877470355731","0.38899868247694336","0.38899868247694336","0.38899868247694336","0.49077733860342554","0.49077733860342554","0.49077733860342554","0.2717391304347826","0.2717391304347826","0.2717391304347826","0.41106719367588934","0.41106719367588934","0.41106719367588934","0.4851778656126482","0.4851778656126482","0.4851778656126482"
